level,M,N,seed,densityMetric
13modified,2,2,1750637571,0.5636
13modified,2,2,1751145009,0.7394
13modified,2,2,1752074182,0.6121
13modified,2,2,1768833,0.5212
13modified,2,2,177560558,0.7212
13modified,2,2,1778788955,0.5515
13modified,2,2,1779805298,0.6303
13modified,2,2,1779872321,0.7697
13modified,2,2,1785302474,0.6667
13modified,2,2,1793153628,0.5636
13modified,2,2,1794308733,0.6242
13modified,2,2,1794464909,0.6303
13modified,2,2,1797312153,0.5818
13modified,2,2,1799431546,0.6667
13modified,2,2,18107705,0.6242
13modified,2,2,181402991,0.5515
13modified,2,2,1825482834,0.5030
13modified,2,2,1827868359,0.6727
13modified,2,2,1835888877,0.6727
13modified,2,2,1840092092,0.7697
13modified,2,2,1842463727,0.6424
13modified,2,2,1845886320,0.6303
13modified,2,2,1849290766,0.6727
13modified,2,2,1850202467,0.5697
13modified,2,2,185542289,0.6848
13modified,2,2,1862084519,0.6364
13modified,2,2,1865257272,0.5212
13modified,2,2,1866703979,0.6061
13modified,2,2,1871053106,0.6485
13modified,2,2,187352246,0.6667
13modified,2,2,1878855187,0.6061
13modified,2,2,1880925967,0.6909
13modified,2,2,1889767891,0.5455
13modified,2,2,188987678,0.5333
13modified,2,2,1893827026,0.6788
13modified,2,2,1893998961,0.6121
13modified,2,2,1900608441,0.7091
13modified,2,2,1900876482,0.4848
13modified,2,2,1906945013,0.7152
13modified,2,2,1907657756,0.6424
13modified,2,2,1910235809,0.6364
13modified,2,2,1913162365,0.6424
13modified,2,2,1918251603,0.6424
13modified,2,2,1920464828,0.6788
13modified,2,2,1922049497,0.5394
13modified,2,2,1925139382,0.6121
13modified,2,2,1927325242,0.6485
13modified,2,2,1927735135,0.6121
13modified,2,2,1931986375,0.6545
13modified,2,2,1932887997,0.6788
13modified,2,2,1940062109,0.7212
13modified,2,2,1942409702,0.6242
13modified,2,2,1947980510,0.4667
13modified,2,2,1953800732,0.6242
13modified,2,2,1957149111,0.4606
13modified,2,2,1959915963,0.5152
13modified,2,2,1962471090,0.7030
13modified,2,2,1964672087,0.6970
13modified,2,2,1967550252,0.6606
13modified,2,2,197001434,0.6121
13modified,2,2,1971417818,0.6545
13modified,2,2,1975987732,0.7394
13modified,2,2,1988833480,0.7455
13modified,2,2,1991059653,0.6182
13modified,2,2,199265476,0.4606
13modified,2,2,1994019300,0.6788
13modified,2,2,1996290082,0.6121
13modified,2,2,1996697352,0.6848
13modified,2,2,2003630045,0.5515
13modified,2,2,2004769433,0.6303
13modified,2,2,2021658289,0.5879
13modified,2,2,2025880080,0.6242
13modified,2,2,2027552515,0.5394
13modified,2,2,2027780649,0.6303
13modified,2,2,2027914005,0.5515
13modified,2,2,2033759605,0.5030
13modified,2,2,2041501226,0.6182
13modified,2,2,2048000005,0.6061
13modified,2,2,2056215082,0.6727
