level,M,N,seed,densityMetric
all,5,5,556990766,0.9310
all,5,5,560227650,0.2537
all,5,5,560534245,0.3333
all,5,5,565773388,0.3073
all,5,5,577577752,0.2000
all,5,5,590828521,0.9951
all,5,5,593629993,0.3793
all,5,5,600291627,0.5415
all,5,5,602053104,0.3267
all,5,5,604329727,0.6782
all,5,5,605610163,0.7512
all,5,5,60851577,0.4158
all,5,5,609003400,0.4729
all,5,5,610715176,0.2390
all,5,5,62365393,0.6878
all,5,5,623733087,0.8390
all,5,5,625943015,0.4286
all,5,5,627607806,0.6683
all,5,5,628730076,0.6782
all,5,5,638219131,0.3775
all,5,5,643686323,0.5616
all,5,5,64604203,0.3762
all,5,5,648157762,0.4975
all,5,5,649579620,0.2189
all,5,5,657539590,0.2167
all,5,5,666498153,0.9073
all,5,5,672047177,0.1724
all,5,5,690101308,0.3713
all,5,5,696092803,0.6256
all,5,5,70279176,0.3171
all,5,5,710254245,0.3564
all,5,5,712656464,0.8614
all,5,5,714807687,0.4158
all,5,5,716193982,0.2069
all,5,5,719826264,0.4208
all,5,5,722153399,0.3842
all,5,5,722200548,0.4532
all,5,5,723335728,0.3663
all,5,5,730866881,0.7030
all,5,5,731130538,0.2611
all,5,5,733822146,0.3756
all,5,5,737561642,0.2390
all,5,5,739301874,0.1872
all,5,5,739785424,0.2217
all,5,5,741943131,0.2829
all,5,5,744430984,0.4428
all,5,5,746702789,0.6552
all,5,5,749196468,0.1951
all,5,5,751200458,0.6927
all,5,5,751226023,0.4461
all,5,5,767897131,0.4752
all,5,5,767944806,0.1659
all,5,5,768216736,0.2732
all,5,5,773802667,0.3547
all,5,5,784087365,0.4802
all,5,5,784866979,0.2634
all,5,5,785159631,0.2139
all,5,5,788268549,0.5222
all,5,5,790415253,0.2090
all,5,5,792874323,0.8146
all,5,5,801491234,0.6976
all,5,5,804236902,0.5545
all,5,5,804750136,0.4752
all,5,5,807181557,0.2439
all,5,5,808292826,0.1940
all,5,5,810680989,0.3268
all,5,5,814281411,0.2069
all,5,5,819051087,0.1561
all,5,5,821602137,0.1415
all,5,5,848683630,0.2020
all,5,5,84965622,0.1805
all,5,5,853215325,0.4455
all,5,5,864909597,0.6584
all,5,5,86838514,0.6244
all,5,5,872709921,0.3762
all,5,5,880362205,0.2736
all,5,5,88271461,0.6617
all,5,5,883856840,0.8168
all,5,5,893893171,1.0099
all,5,5,894077785,0.3103
all,5,5,894215565,0.2562
all,5,5,894828912,0.3911
all,5,5,900856181,0.3317
all,5,5,910097102,0.2927
all,5,5,910895124,0.5317
all,5,5,919803092,0.9212
all,5,5,919850803,0.3854
all,5,5,919991587,0.6436
all,5,5,920146591,0.1576
all,5,5,922559272,0.9064
all,5,5,926921073,0.4802
all,5,5,936285744,0.3465
all,5,5,939453333,0.5025
all,5,5,942285561,0.6878
all,5,5,943312538,0.6980
all,5,5,945540959,0.6318
all,5,5,946138318,0.3366
all,5,5,947272809,0.2927
all,5,5,950175596,0.2927
all,5,5,950295635,0.7854
all,5,5,950683711,0.3762
all,5,5,951037363,0.2341
all,5,5,964853624,0.2376
all,5,5,969737528,0.9122
all,5,5,977018965,0.3498
all,5,5,977076187,0.2390
all,5,5,987486184,0.2512
all,5,5,98789368,0.1535
all,5,5,988913409,0.7143
all,5,5,992678586,0.3529
all,5,5,1005940860,0.1872
all,5,5,1006062264,0.2488
all,5,5,1015010631,0.3103
all,5,5,1021370050,0.4976
all,5,5,1021611556,0.3960
all,5,5,1035675916,0.1854
all,5,5,1037347807,0.8564
all,5,5,1037354822,0.6256
all,5,5,1038333284,0.3707
all,5,5,104365705,0.3744
all,5,5,1054895047,0.1576
all,5,5,106530877,0.4585
all,5,5,1067361824,0.2921
all,5,5,1069453453,0.1683
all,5,5,1069754865,0.2906
all,5,5,107182016,0.8960
all,5,5,1073680571,0.4532
all,5,5,1075844735,0.3707
all,5,5,1079840621,0.3762
all,5,5,1081086685,0.2289
all,5,5,1081500178,0.2759
all,5,5,1085612657,0.1980
all,5,5,1085805159,0.1415
all,5,5,1092035071,0.4098
all,5,5,109398634,0.2976
all,5,5,1094368597,0.3610
all,5,5,1100011485,0.4307
all,5,5,1103265989,0.4488
all,5,5,1110728059,0.7122
all,5,5,1111780569,0.4439
all,5,5,1112655715,0.6059
all,5,5,1117266553,0.3941
all,5,5,1129472070,0.4901
all,5,5,1134945339,0.3251
all,5,5,1138667322,0.4653
all,5,5,1142710484,0.1415
all,5,5,1143455712,0.5366
all,5,5,1150605333,0.3659
all,5,5,1153517656,0.4341
all,5,5,115396057,0.6995
all,5,5,1157089505,0.6897
all,5,5,1168490731,0.5659
all,5,5,1169794562,0.2315
all,5,5,1176473196,0.3168
all,5,5,1178548336,0.4356
all,5,5,118064404,0.5222
all,5,5,118883076,0.8812
all,5,5,1195203243,0.2195
all,5,5,1195671939,0.1561
all,5,5,1198406267,0.2195
all,5,5,1199953580,0.2562
all,5,5,120220613,0.5862
all,5,5,1202532467,0.2562
all,5,5,1206191909,0.4780
all,5,5,1207856171,0.4634
all,5,5,1210024427,0.1618
all,5,5,121013216,0.4208
all,5,5,1210275561,0.3415
all,5,5,1213637325,0.1707
all,5,5,1218600396,0.6584
all,5,5,1219446951,0.5297
all,5,5,1221950448,0.2228
all,5,5,1227092001,0.4439
all,5,5,1231251460,0.2146
all,5,5,1232692796,0.3596
all,5,5,1237829465,0.4726
all,5,5,1244476205,0.8079
all,5,5,1245863649,0.4216
all,5,5,1246508435,0.2098
all,5,5,1246604908,0.4778
all,5,5,1247709633,0.2341
all,5,5,1248350482,0.2921
all,5,5,1248500459,0.5297
all,5,5,1248509953,0.1535
all,5,5,1250168052,0.5025
all,5,5,1256757615,0.8537
all,5,5,1264684161,0.4049
all,5,5,1265865219,0.3171
all,5,5,1269576126,1.0446
all,5,5,1269736767,0.2611
all,5,5,1272679197,0.2098
all,5,5,1274173571,0.3415
all,5,5,1275281500,0.1561
all,5,5,1282871563,0.2660
all,5,5,128433351,0.1626
all,5,5,1285276595,0.4732
all,5,5,1287135277,0.2388
all,5,5,1287975461,0.4829
all,5,5,1288129439,0.2079
all,5,5,1290402515,0.7313
all,5,5,1291047064,0.4378
all,5,5,1292361057,0.2927
all,5,5,1314178681,0.2683
all,5,5,13169630,0.4729
all,5,5,1319413341,0.3220
all,5,5,1320359676,0.3812
all,5,5,1323188476,0.2562
all,5,5,133594798,0.2167
all,5,5,1337492582,0.5693
all,5,5,1338517674,0.1561
all,5,5,133986186,0.4683
all,5,5,1344544300,0.2537
all,5,5,1346196587,0.3483
all,5,5,1348693759,0.3842
all,5,5,1357610022,0.4778
all,5,5,1362603421,0.6814
all,5,5,1365318515,0.1854
all,5,5,1366142430,0.2723
all,5,5,1367849090,0.2537
all,5,5,1369690665,0.7833
all,5,5,1377883502,0.3024
all,5,5,1379846679,0.2338
all,5,5,1382971167,0.1415
all,5,5,1386740609,0.3564
all,5,5,1388885863,0.7561
all,5,5,1392239056,0.3812
all,5,5,1394890397,0.2129
all,5,5,1402377273,0.1854
all,5,5,1404024693,0.2709
all,5,5,140818280,0.5446
all,5,5,1408320868,0.6436
all,5,5,1417837201,1.4631
all,5,5,1425959877,0.3561
all,5,5,1435834795,0.3707
all,5,5,1438006558,0.1970
all,5,5,1438079204,0.3415
all,5,5,1441667388,0.1561
all,5,5,1444558805,0.1683
all,5,5,1449470392,0.3930
all,5,5,146057817,0.3350
all,5,5,1461612790,0.7659
all,5,5,1466572823,0.4109
all,5,5,1468383984,0.1931
all,5,5,1476784450,0.7171
all,5,5,1487541561,0.6119
all,5,5,1499680561,0.9059
all,5,5,1505685472,0.3267
all,5,5,1506660087,0.5172
all,5,5,1507157765,0.3596
all,5,5,1513281700,0.7277
all,5,5,1514926062,0.3713
all,5,5,151550204,0.3561
all,5,5,1517725578,0.1782
all,5,5,1518641546,0.4000
all,5,5,1519575208,0.4146
all,5,5,1521363102,0.4537
all,5,5,153240714,0.1415
all,5,5,1539290789,0.4878
all,5,5,1547706337,0.4653
all,5,5,1555416690,0.3805
all,5,5,1555484566,0.1415
all,5,5,1557444650,0.5074
all,5,5,1563342294,0.4158
all,5,5,1574792720,0.4703
all,5,5,1577496204,0.3805
all,5,5,1577756650,0.3854
all,5,5,158051131,0.1733
all,5,5,1588433685,0.3632
all,5,5,1589921963,0.9310
all,5,5,1593880959,0.2195
all,5,5,1594198821,0.8341
all,5,5,1602020733,0.2562
all,5,5,1605129335,0.6866
all,5,5,1610766986,0.2327
all,5,5,1625059256,0.2365
all,5,5,1629760303,0.3561
all,5,5,1640238436,0.3596
all,5,5,1655641592,0.2376
all,5,5,1657532638,0.1415
all,5,5,1658866694,0.5123
all,5,5,1660914280,0.1707
all,5,5,1668601109,0.6256
all,5,5,1668837776,0.3171
all,5,5,1669751276,1.0000
all,5,5,1672737938,0.3268
all,5,5,167835751,0.1561
all,5,5,1678367077,0.5588
all,5,5,1681932024,0.4581
all,5,5,1688421530,0.1707
all,5,5,1689760217,0.7426
all,5,5,169746594,0.5271
all,5,5,1698975057,0.3171
