level,M,N,seed,linearityRSquared
all,5,5,1513281700,0.0450
all,5,5,1514926062,0.0677
all,5,5,151550204,0.0233
all,5,5,1517725578,0.1206
all,5,5,1518641546,0.1058
all,5,5,1519575208,0.3583
all,5,5,1521363102,0.0006
all,5,5,153240714,0.1165
all,5,5,1539290789,0.0031
all,5,5,1547706337,0.0676
all,5,5,1555416690,0.1044
all,5,5,1555484566,0.1165
all,5,5,1557444650,0.2149
all,5,5,1563342294,0.0068
all,5,5,1574792720,0.0570
all,5,5,1577496204,0.0515
all,5,5,1577756650,0.1118
all,5,5,158051131,0.1486
all,5,5,1588433685,0.0216
all,5,5,1589921963,0.0215
all,5,5,1593880959,0.2696
all,5,5,1594198821,0.0546
all,5,5,1602020733,0.2265
all,5,5,1605129335,0.0222
all,5,5,1610766986,0.0014
all,5,5,1625059256,0.0853
all,5,5,1629760303,0.2577
all,5,5,1640238436,0.0656
all,5,5,1655641592,0.0765
all,5,5,1657532638,0.1149
all,5,5,1658866694,0.1386
all,5,5,1660914280,0.0003
all,5,5,1668601109,0.0576
all,5,5,1668837776,0.0178
all,5,5,1669751276,0.0379
all,5,5,1672737938,0.0019
all,5,5,167835751,0.0001
all,5,5,1678367077,0.0905
all,5,5,1681932024,0.0011
all,5,5,1688421530,0.0144
all,5,5,1689760217,0.0912
all,5,5,169746594,0.0976
all,5,5,1698975057,0.0207
all,5,5,1699313214,0.0331
all,5,5,1699766516,0.0803
all,5,5,1704252180,0.0014
all,5,5,1709669803,0.0002
all,5,5,1709958121,0.2429
all,5,5,1710899660,0.2721
all,5,5,172039583,0.0900
all,5,5,1721724835,0.0582
all,5,5,1733076773,0.0142
all,5,5,1737727812,0.0000
all,5,5,1740758088,0.3259
all,5,5,1740774453,0.0355
all,5,5,1746261859,0.0305
all,5,5,175372090,0.0150
all,5,5,1758723514,0.0321
all,5,5,1760862656,0.0191
all,5,5,1768763517,0.1907
all,5,5,1768773175,0.0913
all,5,5,1769574694,0.0324
all,5,5,1781529180,0.0402
all,5,5,1785207726,0.2654
all,5,5,178698099,0.0048
all,5,5,1788834690,0.2825
all,5,5,1796240466,0.2283
all,5,5,1796962306,0.0545
all,5,5,1800031487,0.0549
all,5,5,1804090075,0.0790
all,5,5,1808468222,0.0019
all,5,5,1809051113,0.0289
all,5,5,1809661895,0.0212
all,5,5,181580405,0.0009
all,5,5,1816338954,0.0128
all,5,5,1822759985,0.0220
all,5,5,1824727494,0.0026
all,5,5,182938029,0.0752
all,5,5,1831812132,0.0132
all,5,5,1840015150,0.0039
all,5,5,1841751817,0.3955
all,5,5,1854323263,0.0585
all,5,5,1860717679,0.3370
all,5,5,1866602874,0.0006
all,5,5,1868610362,0.2214
