level,M,N,seed,completionPct,compressionDistance,editDistance,densityMetric,leniencyMetric,linearityRSquared
1,1,1,1509632501,0.31,0.847034,596,0.123602,0.723010,0.0229
1,1,1,1512170075,0.22,0.863036,588,0.100442,0.749336,0.0028
1,1,1,1513047029,0.17,0.862822,602,0.116481,0.711913,0.0175
1,1,1,151766778,0.07,0.852368,578,0.125364,0.738758,0.0398
1,1,1,1518358220,0.19,0.863036,572,0.104003,0.782129,0.0288
1,1,1,1518552583,0.29,0.873704,570,0.118244,0.732355,0.0001
1,1,1,1518938308,0.36,0.849280,600,0.121804,0.696616,0.0218
1,1,1,1523332101,0.07,0.852368,590,0.111123,0.743904,0.0472
1,1,1,1523727059,0.11,0.852368,596,0.111123,0.727619,0.0023
1,1,1,1523850398,0.43,0.869447,603,0.112921,0.736804,0.0022
1,1,1,152517913,0.35,0.847034,581,0.132485,0.751334,0.0388
1,1,1,1526915281,0.15,0.868370,593,0.093322,0.732170,0.0033
1,1,1,1527983421,0.07,0.884207,589,0.139605,0.729060,0.0037
1,1,1,1528725164,0.07,0.836366,593,0.120042,0.736739,0.0000
1,1,1,1529081495,0.13,0.857702,596,0.104003,0.718972,0.0200
1,1,1,1531151360,0.12,0.857702,601,0.102240,0.706571,0.0038
1,1,1,1532248033,0.17,0.847034,594,0.105801,0.711044,0.0035
1,1,1,1533832136,0.20,0.853171,576,0.132485,0.738291,0.0026
1,1,1,1535902079,0.64,0.863036,587,0.107563,0.758528,0.0227
1,1,1,1536985943,0.11,0.847034,600,0.104003,0.731519,0.0121
1,1,1,1537249979,0.21,0.852368,589,0.095120,0.771314,0.0140
1,1,1,1540822946,0.10,0.852368,589,0.137843,0.759015,0.0003
1,1,1,1542757796,0.11,0.852368,591,0.111123,0.751688,0.0921
1,1,1,1544125195,0.57,0.851052,588,0.121804,0.708996,0.0059
1,1,1,1547328460,0.30,0.836366,585,0.121804,0.740676,0.0375
1,1,1,1548060002,0.10,0.820364,579,0.112921,0.763645,0.0015
1,1,1,154842449,0.10,0.868370,593,0.109361,0.758684,0.0117
1,1,1,1550570586,0.08,0.863036,585,0.100442,0.764300,0.0012
1,1,1,1553932502,0.15,0.815030,577,0.098680,0.761315,0.0026
1,1,1,1554121271,0.08,0.831032,578,0.105801,0.729807,0.0819
1,1,1,1554856959,0.07,0.852368,579,0.104003,0.766615,0.0161
1,1,1,155632444,0.17,0.857702,598,0.104003,0.685062,0.0000
1,1,1,1557376909,0.12,0.831032,567,0.111123,0.779608,0.0423
1,1,1,1558458571,0.48,0.869045,599,0.130722,0.688879,0.0289
1,1,1,1558620065,0.11,0.867943,600,0.120042,0.709445,0.0222
1,1,1,1558744933,0.08,0.821126,599,0.111123,0.701585,0.0087
1,1,1,1560491078,0.16,0.841054,605,0.121804,0.719624,0.0012
1,1,1,1560665819,0.18,0.847034,577,0.109361,0.726935,0.0005
1,1,1,1563161544,0.32,0.815030,581,0.095120,0.761214,0.0002
1,1,1,156571102,0.24,0.831767,601,0.123602,0.716538,0.0286
1,1,1,1566290996,0.37,0.847034,579,0.089762,0.771431,0.0328
1,1,1,1567134334,0.33,0.847673,578,0.114683,0.735190,0.0117
1,1,1,1567196103,0.17,0.836366,590,0.077319,0.743891,0.0062
1,1,1,1570020736,0.42,0.871496,579,0.114683,0.718361,0.0331
1,1,1,1574326162,0.11,0.847034,587,0.121804,0.737647,0.0090
1,1,1,1574474500,0.14,0.857702,581,0.114683,0.720575,0.0059
1,1,1,15748236,0.15,0.804363,593,0.102240,0.713831,0.0159
1,1,1,1575324253,0.26,0.831032,581,0.107563,0.749301,0.0104
1,1,1,1580277552,0.16,0.826978,583,0.132485,0.742594,0.0143
1,1,1,1580781148,0.33,0.836366,573,0.100442,0.774971,0.0115
1,1,1,158096177,0.18,0.900374,590,0.073758,0.734373,0.0001
1,1,1,1585697870,0.11,0.847034,581,0.114683,0.739685,0.0013
1,1,1,158842907,0.88,0.844319,573,0.134283,0.752003,0.0098
1,1,1,1588781947,0.13,0.847034,592,0.098680,0.737295,0.0279
1,1,1,1588852410,0.35,0.833151,585,0.107563,0.753299,0.0075
1,1,1,1590547014,0.07,0.857702,583,0.109361,0.796170,0.0024
1,1,1,1591203019,0.24,0.858876,599,0.130722,0.734862,0.0059
1,1,1,1592441808,0.06,0.852368,588,0.104003,0.727241,0.0235
1,1,1,1592482057,0.18,0.852368,587,0.112921,0.731200,0.0000
1,1,1,1596644030,0.24,0.842974,603,0.116481,0.737667,0.0309
1,1,1,1602836944,0.16,0.852368,579,0.127162,0.769331,0.0002
1,1,1,1603146689,0.19,0.873704,578,0.120042,0.736389,0.0297
1,1,1,1603190713,0.42,0.841700,577,0.112921,0.770531,0.0110
1,1,1,160467324,0.16,0.863036,592,0.123602,0.741219,0.0176
1,1,1,1607319672,0.41,0.884653,600,0.141403,0.720005,0.0327
1,1,1,1609883387,0.16,0.836366,585,0.107563,0.787551,0.0028
1,1,1,1615150894,0.25,0.836366,588,0.116481,0.728083,0.0001
1,1,1,161804169,0.13,0.847034,578,0.116481,0.732218,0.0059
1,1,1,1620304846,0.16,0.836366,586,0.105801,0.751841,0.0267
1,1,1,1622527981,0.37,0.864440,595,0.125364,0.707990,0.0143
1,1,1,1624765118,0.07,0.841700,594,0.102240,0.741447,0.0006
1,1,1,1626218762,0.14,0.854793,579,0.125364,0.747986,0.0004
