level,M,N,seed,leniencyMetric
all,2,2,681844325,-49.6778
all,2,2,682822203,-52.2273
all,2,2,684913463,-50.1774
all,2,2,686363807,-55.6000
all,2,2,696138076,-51.4268
all,2,2,696700444,-54.1667
all,2,2,699331790,-50.9545
all,2,2,706872300,-48.5000
all,2,2,707108887,-45.9474
all,2,2,707550653,-51.2727
all,2,2,714649183,-44.9722
all,2,2,716427139,-55.6714
all,2,2,716867186,-48.6892
all,2,2,734505695,-45.0278
all,2,2,738304691,-50.4310
all,2,2,742043755,-52.2813
all,2,2,7445546,-50.7973
all,2,2,745861786,-62.9103
all,2,2,748639450,-48.8889
all,2,2,752573483,-42.4474
all,2,2,756662132,-48.1667
all,2,2,758381002,-51.0714
all,2,2,760929006,-42.6379
all,2,2,765322355,-58.3000
all,2,2,767315175,-50.2755
all,2,2,779718122,-49.4667
all,2,2,786885497,-53.2857
all,2,2,802570417,-53.1774
all,2,2,805386862,-49.0429
all,2,2,809512818,-46.5625
all,2,2,811593263,-50.3409
all,2,2,81502520,-51.5000
all,2,2,815050439,-57.9167
all,2,2,817591817,-50.6951
all,2,2,818683957,-62.5625
all,2,2,819204420,-54.6944
all,2,2,821411834,-59.1757
all,2,2,838360500,-57.9222
all,2,2,83847564,-49.9848
all,2,2,839057652,-46.6071
all,2,2,843499327,-45.6852
all,2,2,853564982,-45.1286
all,2,2,853820239,-58.3571
all,2,2,856475492,-49.2027
all,2,2,85656603,-48.3684
all,2,2,862472425,-46.5968
all,2,2,865726786,-50.0682
all,2,2,869835073,-56.7727
all,2,2,875667650,-53.2143
all,2,2,881196557,-45.0143
all,2,2,890854882,-49.8226
all,2,2,893915591,-56.0294
all,2,2,896261841,-53.7308
all,2,2,899342202,-49.6563
all,2,2,903556876,-42.0263
all,2,2,906723990,-55.4412
all,2,2,912539759,-56.9200
all,2,2,921321337,-49.6190
all,2,2,922207577,-47.3125
all,2,2,936705076,-56.1207
all,2,2,939110779,-59.7121
all,2,2,940382637,-51.8611
all,2,2,941360757,-50.9865
all,2,2,943488965,-48.6176
all,2,2,944841913,-51.3750
all,2,2,951573147,-52.9898
all,2,2,95276463,-51.1190
all,2,2,958412791,-48.5938
all,2,2,960864545,-50.1571
all,2,2,963667406,-52.7500
all,2,2,963733305,-52.7424
all,2,2,963744626,-52.2813
all,2,2,96983130,-57.6000
all,2,2,970359006,-48.3333
all,2,2,985590583,-43.3710
all,2,2,992618231,-49.5000
all,2,2,997363620,-55.2353
all,2,2,1011567003,-44.1774
all,2,2,1012012773,-51.4118
all,2,2,1012966232,-48.3333
all,2,2,1013004600,-47.6220
all,2,2,1014361983,-52.6818
all,2,2,1015440888,-58.1170
all,2,2,1027608383,-54.0250
all,2,2,103857881,-56.1500
all,2,2,1039945894,-53.5000
all,2,2,1041003529,-55.8714
all,2,2,1042214707,-53.4394
all,2,2,1043124369,-43.1176
all,2,2,1047191324,-55.0581
all,2,2,1047930356,-50.4333
all,2,2,1060260341,-53.7692
all,2,2,106504493,-49.5769
