level,M,N,seed,Leniency
13modified,5,5,627356875,-22.0000
13modified,5,5,631697979,-18.6000
13modified,5,5,632744004,-22.0000
13modified,5,5,636886431,-24.0556
13modified,5,5,637748248,-20.0556
13modified,5,5,649181860,-22.0000
13modified,5,5,656604815,-20.0556
13modified,5,5,664273894,-20.0556
13modified,5,5,669823968,-22.0000
13modified,5,5,675298499,-20.0556
13modified,5,5,679073504,-20.2273
13modified,5,5,680282868,-20.0556
13modified,5,5,684278022,-33.8000
13modified,5,5,686937945,-20.0556
13modified,5,5,693138014,-22.0000
13modified,5,5,695126469,-18.6000
13modified,5,5,696243155,-25.6111
13modified,5,5,697300550,-22.0000
13modified,5,5,698184218,-29.0556
13modified,5,5,703645711,-20.0556
13modified,5,5,704614759,-29.6000
13modified,5,5,705281852,-22.0000
13modified,5,5,710840652,-22.0000
13modified,5,5,713736068,-22.0000
13modified,5,5,716078920,-20.0556
13modified,5,5,720325027,-17.5000
13modified,5,5,724430321,-22.0000
13modified,5,5,726857263,-20.0556
13modified,5,5,731509971,-20.6000
13modified,5,5,738972119,-22.0000
13modified,5,5,741167002,-21.6000
13modified,5,5,746792063,-24.6111
13modified,5,5,748304728,-22.0000
13modified,5,5,751023097,-22.9444
13modified,5,5,751853572,-20.0556
13modified,5,5,753879166,-20.0556
13modified,5,5,758447348,-20.0556
13modified,5,5,781245130,-23.1000
13modified,5,5,781274475,-34.6000
13modified,5,5,78205766,-22.0000
13modified,5,5,789853414,-25.8000
13modified,5,5,797126824,-27.1000
13modified,5,5,807706636,-20.0556
13modified,5,5,810981288,-20.0556
13modified,5,5,814323293,-20.0556
13modified,5,5,821418581,-20.0556
13modified,5,5,82762515,-34.6000
13modified,5,5,833819593,-22.9444
13modified,5,5,834208879,-22.9444
13modified,5,5,841379832,-20.0556
13modified,5,5,844244049,-22.0000
13modified,5,5,84584900,-25.6818
13modified,5,5,847749245,-34.6000
13modified,5,5,848832259,-22.0000
13modified,5,5,855607829,-22.3889
13modified,5,5,859435011,-20.0556
13modified,5,5,860122088,-31.3571
13modified,5,5,860954475,-20.0556
13modified,5,5,863596172,-25.1667
13modified,5,5,865138645,-22.0000
13modified,5,5,876958916,-22.0000
13modified,5,5,878340720,-26.8333
13modified,5,5,879737055,-21.1364
13modified,5,5,884717110,-22.9444
13modified,5,5,887025317,-22.0000
13modified,5,5,896433739,-22.0000
13modified,5,5,904063648,-22.0000
13modified,5,5,904804496,-20.0556
13modified,5,5,907819592,-18.6000
13modified,5,5,914245322,-22.0000
13modified,5,5,917471326,-22.0000
13modified,5,5,931990383,-22.6000
13modified,5,5,934062453,-22.0000
13modified,5,5,941152876,-32.5476
13modified,5,5,941191322,-22.0000
13modified,5,5,941522092,-22.0000
13modified,5,5,944465990,-22.0000
13modified,5,5,950888341,-20.0556
13modified,5,5,951447562,-22.0000
13modified,5,5,951926614,-33.0714
13modified,5,5,953177327,-22.0000
13modified,5,5,954023423,-20.0556
13modified,5,5,957478768,-26.1667
13modified,5,5,963287598,-28.3500
13modified,5,5,965343326,-22.0000
13modified,5,5,968440480,-20.0556
13modified,5,5,972422225,-22.0000
13modified,5,5,973049422,-22.0000
13modified,5,5,989969323,-29.6000
13modified,5,5,990586546,-22.0000
13modified,5,5,990728232,-22.0000
13modified,5,5,995213862,-22.0000
13modified,5,5,996534912,-29.6000
13modified,5,5,999901529,-20.0556
13modified,5,5,1001901736,-20.0556
13modified,5,5,1007821373,-22.0000
13modified,5,5,1010678129,-33.0000
